time,open,high,low,close,volume
2026-05-20 22:44:00+00:00,0.71526,0.71528,0.71526,0.71528,0
2026-05-20 22:45:00+00:00,0.71528,0.71528,0.71526,0.71527,0
2026-05-20 22:46:00+00:00,0.71527,0.7153,0.71527,0.71529,0
2026-05-20 22:47:00+00:00,0.7153,0.7153,0.71527,0.71527,0
2026-05-20 22:48:00+00:00,0.71527,0.71527,0.71524,0.71525,0
2026-05-20 22:49:00+00:00,0.71524,0.71525,0.71524,0.71525,0
2026-05-20 22:50:00+00:00,0.71525,0.71525,0.71519,0.71522,0
2026-05-20 22:51:00+00:00,0.71521,0.71523,0.71521,0.71522,0
2026-05-20 22:52:00+00:00,0.71522,0.71523,0.7152,0.7152,0
2026-05-20 22:53:00+00:00,0.7152,0.71521,0.71517,0.71517,0
2026-05-20 22:54:00+00:00,0.71517,0.7152,0.71517,0.7152,0
2026-05-20 22:55:00+00:00,0.7152,0.71522,0.7152,0.7152,0
2026-05-20 22:56:00+00:00,0.7152,0.71522,0.7152,0.71522,0
2026-05-20 22:57:00+00:00,0.71522,0.71522,0.71519,0.71521,0
2026-05-20 22:58:00+00:00,0.71521,0.71522,0.71521,0.71522,0
2026-05-20 22:59:00+00:00,0.71522,0.71525,0.71521,0.71525,0
2026-05-20 23:00:00+00:00,0.71525,0.71525,0.71525,0.71525,0
2026-05-20 23:01:00+00:00,0.71525,0.71525,0.7152,0.71521,0
2026-05-20 23:02:00+00:00,0.71521,0.71523,0.71521,0.71522,0
2026-05-20 23:03:00+00:00,0.7152,0.7152,0.71519,0.7152,0
2026-05-20 23:04:00+00:00,0.7152,0.71521,0.7152,0.7152,0
2026-05-20 23:05:00+00:00,0.71519,0.7152,0.71519,0.7152,0
2026-05-20 23:06:00+00:00,0.7152,0.71523,0.71519,0.71519,0
2026-05-20 23:07:00+00:00,0.71518,0.71523,0.71518,0.71522,0
2026-05-20 23:08:00+00:00,0.71522,0.71522,0.71521,0.71521,0
2026-05-20 23:09:00+00:00,0.71522,0.71522,0.71505,0.71505,0
2026-05-20 23:10:00+00:00,0.71504,0.71515,0.71504,0.71513,0
2026-05-20 23:11:00+00:00,0.71513,0.71513,0.71512,0.71512,0
2026-05-20 23:12:00+00:00,0.71512,0.71518,0.71512,0.71518,0
2026-05-20 23:13:00+00:00,0.71518,0.71518,0.71517,0.71518,0
2026-05-20 23:14:00+00:00,0.71517,0.71517,0.71515,0.71515,0
2026-05-20 23:15:00+00:00,0.71515,0.71517,0.71515,0.71515,0
2026-05-20 23:16:00+00:00,0.71515,0.71515,0.71511,0.71515,0
2026-05-20 23:17:00+00:00,0.71515,0.71518,0.71515,0.71518,0
2026-05-20 23:18:00+00:00,0.71518,0.71518,0.71507,0.71507,0
2026-05-20 23:19:00+00:00,0.71508,0.7151,0.71505,0.71505,0
2026-05-20 23:20:00+00:00,0.71505,0.71506,0.71504,0.71505,0
2026-05-20 23:21:00+00:00,0.71505,0.71507,0.71505,0.71505,0
2026-05-20 23:22:00+00:00,0.71506,0.71509,0.71503,0.71504,0
2026-05-20 23:23:00+00:00,0.71504,0.71504,0.71499,0.715,0
2026-05-20 23:24:00+00:00,0.715,0.71505,0.715,0.71505,0
2026-05-20 23:25:00+00:00,0.71505,0.71507,0.71504,0.71505,0
2026-05-20 23:26:00+00:00,0.71505,0.71505,0.71503,0.71503,0
2026-05-20 23:27:00+00:00,0.71503,0.71506,0.71503,0.71505,0
2026-05-20 23:28:00+00:00,0.71505,0.71506,0.71505,0.71505,0
2026-05-20 23:29:00+00:00,0.71505,0.71506,0.71505,0.71506,0
2026-05-20 23:30:00+00:00,0.71505,0.71506,0.71505,0.71506,0
2026-05-20 23:31:00+00:00,0.71505,0.71505,0.71505,0.71505,0
2026-05-20 23:32:00+00:00,0.71505,0.71506,0.71504,0.71506,0
2026-05-20 23:33:00+00:00,0.71506,0.71507,0.71504,0.71504,0
2026-05-20 23:34:00+00:00,0.71504,0.71504,0.71501,0.71501,0
2026-05-20 23:35:00+00:00,0.71501,0.71501,0.715,0.715,0
2026-05-20 23:36:00+00:00,0.71503,0.71503,0.71499,0.71501,0
2026-05-20 23:37:00+00:00,0.71502,0.71506,0.71502,0.71506,0
2026-05-20 23:38:00+00:00,0.71506,0.71507,0.71504,0.71504,0
2026-05-20 23:39:00+00:00,0.71504,0.71505,0.71504,0.71505,0
2026-05-20 23:40:00+00:00,0.71505,0.71505,0.71503,0.71504,0
2026-05-20 23:41:00+00:00,0.71504,0.71504,0.71498,0.715,0
2026-05-20 23:42:00+00:00,0.715,0.71501,0.71499,0.71499,0
2026-05-20 23:43:00+00:00,0.71499,0.71499,0.71498,0.71498,0
2026-05-20 23:44:00+00:00,0.71499,0.715,0.71498,0.71498,0
2026-05-20 23:45:00+00:00,0.71499,0.715,0.71498,0.71498,0
2026-05-20 23:46:00+00:00,0.71505,0.7151,0.71504,0.7151,0
2026-05-20 23:47:00+00:00,0.71505,0.7151,0.71504,0.7151,0
2026-05-20 23:48:00+00:00,0.71505,0.7151,0.71504,0.7151,0
2026-05-20 23:49:00+00:00,0.71525,0.71525,0.71514,0.71515,0
2026-05-20 23:50:00+00:00,0.71515,0.71519,0.71515,0.71515,0
2026-05-20 23:51:00+00:00,0.71517,0.71517,0.71508,0.71508,0
2026-05-20 23:52:00+00:00,0.71508,0.71508,0.71501,0.71503,0
2026-05-20 23:53:00+00:00,0.71503,0.71506,0.71503,0.71505,0
2026-05-20 23:54:00+00:00,0.71503,0.71506,0.71503,0.71505,0
2026-05-20 23:55:00+00:00,0.71503,0.71506,0.71503,0.71505,0
